date,UNRATE,TB3MS,RPI,INDPRO,DPCERA3M086SBEA,S&P500,BUSLOANS,CPIAUCSL,OILPRICEx,M2SL
1959-01-01,6.0,2.82,2583.56,21.9616,15.188,55.62,35.213,29.01,3.0,286.6
1959-02-01,5.9,2.7,2593.596,22.3917,15.346,54.77,35.2201,29.0,3.0,287.7
1959-03-01,5.6,2.8,2610.396,22.7142,15.491,56.16,35.1304,28.97,2.97,289.2
1959-04-01,5.2,2.95,2627.446,23.1981,15.435,57.1,35.5581,28.98,2.97,290.1
1959-05-01,5.1,2.84,2642.72,23.5476,15.622,57.96,36.3064,29.04,2.97,292.2
1959-06-01,5.0,3.21,2650.841,23.5744,15.679,57.46,37.1404,29.11,2.97,294.1
1959-07-01,5.1,3.2,2649.304,23.0099,15.626,59.74,37.6645,29.15,2.97,295.2
1959-08-01,5.2,3.38,2634.369,22.2304,15.72,59.4,38.089,29.18,2.97,296.4
1959-09-01,5.5,4.04,2636.381,22.2035,15.878,57.05,38.2605,29.25,2.97,296.7
1959-10-01,5.7,4.05,2639.735,22.0422,15.77,57.0,38.4113,29.35,2.97,296.5
1959-11-01,5.8,4.15,2659.765,22.1766,15.763,57.23,38.6978,29.35,2.97,297.1
1959-12-01,5.3,4.49,2687.012,23.5475,15.745,59.06,39.2932,29.41,2.97,297.8
1960-01-01,5.2,4.35,2695.694,24.1658,15.789,58.03,39.6291,29.37,2.97,298.2
1960-02-01,4.8,3.96,2698.789,23.9508,15.858,55.78,39.7872,29.41,2.97,298.4
1960-03-01,5.4,3.31,2703.859,23.7357,16.083,55.02,40.018,29.41,2.97,299.3
1960-04-01,5.2,3.23,2713.243,23.5476,16.331,55.73,40.5152,29.54,2.97,300.1
1960-05-01,5.1,3.29,2719.777,23.5207,16.002,55.22,40.8926,29.57,2.97,300.9
1960-06-01,5.4,2.46,2721.855,23.225,15.998,57.26,41.3564,29.61,2.97,302.3
1960-07-01,5.5,2.3,2726.734,23.1443,16.031,55.84,41.3958,29.55,2.97,304.1
1960-08-01,5.6,2.3,2722.383,23.1175,16.016,56.51,41.3249,29.61,2.97,306.9
1960-09-01,5.5,2.48,2725.93,22.8755,16.092,54.81,41.4006,29.61,2.97,308.4
1960-10-01,6.1,2.3,2733.981,22.8487,16.17,53.73,41.5247,29.75,2.97,309.5
1960-11-01,6.1,2.37,2722.236,22.5261,16.114,55.47,41.6827,29.78,2.97,310.9
1960-12-01,6.6,2.25,2709.794,22.096,15.916,56.8,42.1051,29.81,2.97,312.4
1961-01-01,6.6,2.24,2734.05,22.1229,15.956,59.72,42.0358,29.84,2.97,314.1
1961-02-01,6.9,2.42,2744.703,22.096,16.014,62.17,41.9503,29.84,2.97,316.5
1961-03-01,6.9,2.39,2755.967,22.2304,16.213,64.12,42.0518,29.84,2.97,318.3
1961-04-01,7.0,2.29,2761.873,22.6874,16.221,65.83,42.2127,29.81,2.97,319.9
1961-05-01,7.1,2.29,2783.267,23.0368,16.32,66.5,42.1342,29.84,2.97,322.2
1961-06-01,6.9,2.33,2809.575,23.3594,16.359,65.62,42.4519,29.84,2.97,324.3
1961-07-01,7.0,2.24,2817.586,23.6282,16.31,65.44,42.5813,29.92,2.97,325.6
1961-08-01,6.6,2.39,2819.181,23.8432,16.368,67.79,42.6567,29.94,2.97,327.6
1961-09-01,6.7,2.28,2822.627,23.8164,16.46,67.26,42.7707,29.98,2.97,329.5
1961-10-01,6.5,2.3,2850.442,24.2733,16.563,68.0,42.9778,29.98,2.97,331.1
1961-11-01,6.1,2.48,2875.937,24.6497,16.724,71.08,43.1337,29.98,2.97,333.4
1961-12-01,6.0,2.6,2893.211,24.8647,16.84,71.74,43.7997,30.01,2.97,335.5
1962-01-01,5.8,2.72,2890.321,24.6496,16.845,69.07,43.9853,30.04,2.97,337.5
1962-02-01,5.5,2.73,2902.573,25.0529,16.837,70.22,43.8688,30.11,2.97,340.1
1962-03-01,5.6,2.72,2922.539,25.1873,16.976,70.29,44.1012,30.17,2.97,343.1
1962-04-01,5.6,2.73,2937.504,25.241,17.035,68.05,44.5398,30.21,2.97,345.5
1962-05-01,5.5,2.69,2941.678,25.2141,17.166,62.99,44.8413,30.24,2.97,347.5
1962-06-01,5.5,2.73,2945.739,25.1604,17.08,55.63,45.5419,30.21,2.97,349.3
1962-07-01,5.4,2.92,2960.008,25.4023,17.135,56.97,45.7268,30.22,2.97,350.8
1962-08-01,5.7,2.82,2964.773,25.4292,17.183,58.52,45.9234,30.28,2.97,352.8
1962-09-01,5.6,2.78,2966.166,25.5905,17.375,58.0,46.3736,30.42,2.97,354.9
1962-10-01,5.4,2.74,2981.84,25.6174,17.289,56.17,46.8487,30.38,2.97,357.2
1962-11-01,5.7,2.83,2992.828,25.7249,17.519,60.04,47.1998,30.38,2.97,359.8
1962-12-01,5.5,2.87,3006.868,25.7249,17.617,62.64,47.4376,30.38,2.97,362.7
1963-01-01,5.7,2.91,3025.392,25.913,17.612,65.06,47.6623,30.44,2.97,365.2
1963-02-01,5.9,2.92,3009.442,26.2088,17.546,65.92,47.8294,30.48,2.97,367.9
1963-03-01,5.7,2.89,3023.049,26.37,17.635,65.67,47.9739,30.51,2.97,370.7
1963-04-01,5.7,2.9,3031.344,26.612,17.699,68.76,48.3917,30.48,2.97,373.3
1963-05-01,5.9,2.93,3044.315,26.9345,17.71,70.14,48.649,30.51,2.97,376.1
1963-06-01,5.6,2.99,3058.664,27.0152,17.881,70.11,49.2469,30.61,2.97,378.4
1963-07-01,5.6,3.18,3060.387,26.9076,17.973,69.07,49.4664,30.69,2.97,381.1
1963-08-01,5.4,3.32,3071.095,26.9614,18.037,70.98,49.4768,30.75,2.97,383.6
1963-09-01,5.5,3.38,3091.894,27.2302,18.003,72.85,49.8225,30.72,2.97,386.0
1963-10-01,5.5,3.45,3109.05,27.4184,17.993,73.03,50.4111,30.75,2.97,388.3
1963-11-01,5.7,3.52,3115.477,27.5528,18.127,72.62,51.2382,30.78,2.97,391.5
1963-12-01,5.5,3.52,3140.08,27.499,18.343,74.17,52.1741,30.88,2.97,393.2
1964-01-01,5.6,3.52,3151.381,27.7409,18.402,76.45,52.4186,30.94,2.97,395.2
1964-02-01,5.4,3.53,3164.424,27.9291,18.532,77.39,52.5482,30.91,2.97,397.6
1964-03-01,5.4,3.54,3180.427,27.9291,18.597,78.8,52.7139,30.94,2.97,399.8
1964-04-01,5.3,3.47,3199.779,28.3861,18.63,79.94,53.229,30.95,2.97,401.7
1964-05-01,5.1,3.48,3218.991,28.5474,18.888,80.72,53.7445,30.98,2.97,404.2
1964-06-01,5.2,3.48,3230.324,28.628,18.996,80.24,54.2937,31.01,2.97,407.1
1964-07-01,4.9,3.46,3247.888,28.8162,19.136,83.22,54.7159,31.02,2.92,410.1
1964-08-01,5.0,3.5,3266.271,29.0043,19.251,82.0,55.1046,31.05,2.92,413.4
1964-09-01,5.1,3.53,3279.764,29.1119,19.171,83.41,55.7749,31.08,2.92,416.9
1964-10-01,5.1,3.57,3281.585,28.7087,19.296,84.85,56.2908,31.12,2.92,419.1
1964-11-01,4.8,3.64,3303.656,29.5957,19.121,85.44,56.8628,31.21,2.92,422.0
1964-12-01,5.0,3.84,3336.322,29.9452,19.306,83.96,58.3481,31.25,2.92,424.7
1965-01-01,4.9,3.81,3357.223,30.2677,19.443,86.12,59.241,31.28,2.92,427.5
1965-02-01,5.1,3.93,3359.115,30.4559,19.753,86.75,60.0693,31.28,2.92,430.4
1965-03-01,4.7,3.93,3375.375,30.8591,19.814,86.83,61.1489,31.31,2.92,433.2
1965-04-01,4.8,3.93,3389.254,30.9935,19.955,87.97,62.1331,31.38,2.92,435.4
1965-05-01,4.6,3.89,3407.894,31.2354,19.936,89.28,62.925,31.48,2.92,437.1
1965-06-01,4.6,3.8,3417.802,31.4774,19.77,85.04,64.1511,31.61,2.92,440.1
1965-07-01,4.4,3.84,3440.831,31.7731,20.018,84.91,64.8904,31.58,2.92,442.9
1965-08-01,4.4,3.84,3455.192,31.9075,20.165,86.49,65.4792,31.55,2.92,445.8
1965-09-01,4.3,3.92,3539.729,31.9881,20.502,89.38,66.3883,31.62,2.92,449.5
1965-10-01,4.2,4.03,3524.562,32.3107,20.789,91.39,67.05,31.65,2.92,452.6
1965-11-01,4.1,4.09,3550.773,32.4451,20.78,92.15,67.754,31.75,2.92,455.7
1965-12-01,4.0,4.38,3569.718,32.8483,20.823,91.73,69.1577,31.85,2.92,459.2
1966-01-01,4.0,4.59,3578.381,33.1709,20.956,93.32,69.9831,31.88,2.92,462.0
1966-02-01,3.8,4.65,3596.166,33.3859,21.097,92.69,70.683,32.08,2.92,464.6
1966-03-01,3.8,4.59,3615.405,33.8429,21.261,88.88,71.521,32.18,2.92,467.2
1966-04-01,3.8,4.62,3612.477,33.8967,21.272,91.6,72.3728,32.28,2.92,469.3
1966-05-01,3.9,4.64,3624.307,34.2192,21.074,86.78,73.3273,32.35,2.92,470.1
1966-06-01,3.8,4.5,3642.069,34.3805,21.13,86.06,75.3919,32.38,2.92,471.2
1966-07-01,3.8,4.8,3656.698,34.5687,21.312,85.84,76.7826,32.45,2.92,470.9
1966-08-01,3.8,4.96,3675.041,34.5955,21.345,80.65,76.9939,32.65,2.92,472.6
1966-09-01,3.7,5.37,3697.138,34.9181,21.542,77.81,77.4883,32.75,2.97,475.4
1966-10-01,3.7,5.35,3712.521,35.16,21.448,77.13,78.0104,32.85,2.97,475.7
1966-11-01,3.6,5.32,3735.585,34.9181,21.493,80.99,78.3726,32.88,2.97,477.3
1966-12-01,3.8,4.96,3734.371,34.9987,21.527,81.33,78.976,32.92,2.97,480.2
1967-01-01,3.9,4.72,3769.197,35.1638,21.629,84.45,79.274,32.9,2.97,481.6
1967-02-01,3.8,4.56,3773.752,34.765,21.549,87.36,79.558,33.0,3.0,485.1
1967-03-01,3.8,4.26,3796.76,34.5691,21.661,89.42,80.1231,33.0,3.0,489.7
1967-04-01,3.8,3.84,3793.589,34.8951,21.867,90.96,81.185,33.1,3.0,492.1
1967-05-01,3.8,3.6,3800.579,34.5907,21.865,92.59,81.6022,33.1,3.0,497.2
1967-06-01,3.9,3.54,3815.624,34.5863,21.994,91.43,82.6929,33.3,3.0,502.0
1967-07-01,3.8,4.21,3835.148,34.5076,21.916,93.01,83.7351,33.4,3.0,506.3
1967-08-01,3.8,4.27,3853.272,35.1687,21.981,94.49,83.5123,33.5,3.07,510.8
1967-09-01,3.8,4.42,3856.287,35.1116,22.165,95.81,83.7365,33.6,3.07,514.7
1967-10-01,4.0,4.56,3861.274,35.3976,21.957,95.66,84.1043,33.7,3.07,518.2
1967-11-01,3.9,4.73,3885.754,35.9038,22.107,92.66,84.5959,33.9,3.07,521.2
1967-12-01,3.8,4.97,3896.582,36.2905,22.402,95.3,86.1397,34.0,3.07,524.8
1968-01-01,3.7,5.0,3917.876,36.2514,22.545,95.04,86.5509,34.1,3.07,527.4
1968-02-01,3.8,4.98,3947.741,36.3813,22.568,90.75,86.5981,34.2,3.07,530.4
1968-03-01,3.7,5.17,3981.447,36.4949,22.946,89.09,87.114,34.3,3.07,533.2
1968-04-01,3.5,5.38,3999.257,36.5477,22.861,95.67,88.421,34.4,3.07,535.7
1968-05-01,3.5,5.66,4020.251,36.9577,23.019,97.87,88.9726,34.5,3.07,538.9
1968-06-01,3.7,5.52,4038.787,37.0934,23.216,100.5,89.9295,34.7,3.07,542.6
1968-07-01,3.7,5.31,4063.454,37.0366,23.432,100.3,91.0358,34.9,3.07,545.6
1968-08-01,3.5,5.09,4082.154,37.1399,23.496,98.11,91.2381,35.0,3.07,549.4
1968-09-01,3.4,5.19,4101.372,37.2806,23.463,101.3,91.8452,35.1,3.07,553.6
1968-10-01,3.4,5.35,4108.359,37.3546,23.502,103.8,92.8125,35.3,3.07,557.6
1968-11-01,3.4,5.45,4126.968,37.8378,23.632,105.4,94.47,35.4,3.07,562.4
1968-12-01,3.4,5.96,4143.746,37.9573,23.574,106.5,96.2065,35.6,3.07,566.8
1969-01-01,3.4,6.14,4147.516,38.1869,23.765,102.0,97.1481,35.7,3.07,569.3
1969-02-01,3.4,6.12,4166.874,38.4313,23.916,101.5,98.2963,35.8,3.07,571.9
1969-03-01,3.4,6.02,4185.653,38.7326,23.811,99.3,99.2383,36.1,3.25,574.4
1969-04-01,3.4,6.11,4195.731,38.5901,23.908,101.3,100.7715,36.3,3.35,575.7
1969-05-01,3.4,6.04,4212.218,38.4443,24.069,104.6,101.9454,36.4,3.35,576.5
1969-06-01,3.5,6.44,4226.625,38.8198,23.976,99.14,102.5404,36.6,3.35,578.5
1969-07-01,3.5,7.0,4249.802,39.0248,23.945,94.71,103.0557,36.8,3.35,579.5
1969-08-01,3.5,6.98,4276.349,39.1145,24.165,94.18,103.3067,36.9,3.35,580.1
1969-09-01,3.7,7.09,4287.411,39.1057,24.195,94.51,103.8176,37.1,3.35,582.1
1969-10-01,3.7,7.0,4295.402,39.1171,24.32,95.52,104.3372,37.3,3.35,583.4
1969-11-01,3.5,7.24,4299.542,38.7484,24.292,96.21,105.1854,37.5,3.35,585.4
1969-12-01,3.5,7.82,4308.572,38.6444,24.27,91.11,106.5979,37.7,3.35,587.9
1970-01-01,3.9,7.87,4316.303,37.9288,24.415,90.31,106.2979,37.9,3.35,589.6
1970-02-01,4.2,7.13,4326.879,37.9038,24.522,87.16,105.6953,38.1,3.35,586.3
1970-03-01,4.4,6.63,4343.672,37.8546,24.397,88.65,105.4128,38.3,3.35,587.3
1970-04-01,4.6,6.51,4386.888,37.7573,24.416,85.95,105.6766,38.5,3.35,588.4
1970-05-01,4.8,6.84,4361.776,37.7133,24.584,76.06,106.0118,38.6,3.35,591.5
1970-06-01,4.9,6.68,4375.408,37.5913,24.667,75.59,106.8358,38.8,3.35,595.2
1970-07-01,5.0,6.45,4399.934,37.6836,24.661,75.72,107.677,38.9,3.31,599.1
1970-08-01,5.1,6.41,4411.13,37.6164,24.765,77.92,108.5407,39.0,3.31,604.9
1970-09-01,5.4,6.12,4408.024,37.3571,24.887,82.58,109.5289,39.2,3.31,611.2
1970-10-01,5.5,5.91,4392.764,36.6098,24.736,84.37,109.774,39.4,3.31,616.4
1970-11-01,5.9,5.28,4388.306,36.3881,24.573,84.28,110.1744,39.6,3.31,621.1
1970-12-01,6.1,4.87,4403.338,37.2237,24.802,90.05,111.3578,39.8,3.56,626.5
1971-01-01,5.9,4.44,4441.241,37.5101,25.142,93.49,111.5479,39.9,3.56,632.9
1971-02-01,5.9,3.7,4450.084,37.4386,25.189,97.11,111.8951,39.9,3.56,641.0
1971-03-01,6.0,3.38,4464.048,37.398,25.202,99.6,111.9877,40.0,3.56,649.9
1971-04-01,5.9,3.86,4475.918,37.608,25.353,103.0,112.1496,40.1,3.56,658.4
1971-05-01,5.9,4.14,4493.209,37.7989,25.335,101.6,113.0615,40.3,3.56,666.7
1971-06-01,5.9,4.75,4577.424,37.9574,25.539,99.72,114.1265,40.5,3.56,673.0
1971-07-01,6.0,5.4,4520.323,37.8472,25.43,99.0,114.3772,40.6,3.56,679.6
1971-08-01,6.1,4.94,4535.789,37.6276,25.575,97.24,115.6802,40.7,3.56,685.5
1971-09-01,6.0,4.69,4562.531,38.2391,25.83,99.4,116.6745,40.8,3.56,692.5
1971-10-01,5.8,4.46,4575.168,38.5253,25.893,97.29,117.268,40.9,3.56,698.4
1971-11-01,6.0,4.22,4598.431,38.6888,26.024,92.78,117.8104,41.0,3.56,704.6
1971-12-01,6.0,4.01,4622.5,39.1355,26.192,99.17,117.7961,41.1,3.56,710.3
1972-01-01,5.8,3.38,4644.778,40.0728,26.196,103.3,118.1645,41.2,3.56,717.7
1972-02-01,5.7,3.2,4682.524,40.4789,26.259,105.2,118.8982,41.4,3.56,725.7
1972-03-01,5.8,3.73,4712.202,40.761,26.686,107.7,119.691,41.4,3.56,733.5
1972-04-01,5.7,3.71,4718.611,41.1654,26.764,108.8,121.2319,41.5,3.56,738.4
1972-05-01,5.7,3.69,4738.426,41.1693,26.898,107.7,122.692,41.6,3.56,743.3
1972-06-01,5.7,3.91,4751.74,41.2778,26.985,108.0,123.7672,41.7,3.56,749.7
1972-07-01,5.6,3.98,4780.516,41.2389,27.184,107.2,124.6817,41.8,3.56,759.5
1972-08-01,5.6,4.02,4824.896,41.805,27.33,111.0,126.0083,41.9,3.56,768.7
1972-09-01,5.5,4.66,4843.175,42.1288,27.377,109.4,126.9574,42.1,3.56,778.3
1972-10-01,5.6,4.74,4954.863,42.6703,27.829,109.6,129.0908,42.2,3.56,786.9
1972-11-01,5.3,4.78,5005.278,43.1755,27.938,115.1,131.5901,42.4,3.56,793.9
1972-12-01,5.2,5.07,5023.731,43.6617,28.045,117.5,133.1093,42.5,3.56,802.3
1973-01-01,4.9,5.41,5003.812,43.9783,28.319,118.4,135.4135,42.7,3.56,810.3
1973-02-01,5.0,5.6,5022.151,44.6103,28.493,114.2,140.7983,43.0,3.56,814.1
1973-03-01,4.9,6.09,5028.119,44.6294,28.53,112.4,144.9576,43.4,3.56,815.3
1973-04-01,5.0,6.26,5037.899,44.568,28.418,110.3,147.5343,43.7,3.56,819.7
1973-05-01,4.9,6.36,5059.894,44.8608,28.478,107.2,149.9659,43.9,3.56,826.8
1973-06-01,4.9,7.19,5074.122,44.9186,28.407,104.8,152.8292,44.2,3.56,833.3
1973-07-01,4.8,8.01,5089.133,45.085,28.633,105.8,155.3291,44.2,3.56,836.5
1973-08-01,4.8,8.67,5074.021,45.0221,28.278,103.8,158.0681,45.0,4.31,838.8
1973-09-01,4.8,8.29,5104.199,45.3801,28.693,105.6,158.5066,45.2,4.31,839.3
1973-10-01,4.6,7.22,5148.7,45.7462,28.496,109.8,159.1694,45.6,4.31,842.6
1973-11-01,4.8,7.83,5160.48,45.9548,28.547,102.0,159.9353,45.9,4.31,848.9
1973-12-01,4.9,7.45,5146.807,45.8252,28.305,94.78,161.2113,46.3,4.31,855.5
1974-01-01,5.1,7.77,5102.933,45.5207,28.289,96.11,163.0226,46.8,10.11,859.7
1974-02-01,5.2,7.12,5072.291,45.3825,28.126,93.45,164.772,47.3,10.11,864.2
1974-03-01,5.1,7.96,5039.098,45.3798,28.17,97.44,168.8168,47.8,10.11,870.1
1974-04-01,5.1,8.33,5036.13,45.247,28.264,92.46,174.9909,48.1,10.11,872.9
1974-05-01,5.1,8.23,5040.703,45.6083,28.346,89.67,177.6309,48.6,10.11,874.6
1974-06-01,5.4,7.9,5037.213,45.5216,28.279,89.79,180.1082,49.0,10.11,877.8
1974-07-01,5.5,7.55,5057.141,45.6136,28.372,79.31,183.9873,49.3,10.11,881.4
1974-08-01,5.5,8.96,5048.655,45.1303,28.584,76.03,186.3819,49.9,10.11,884.1
